Age,MonthlyIncome,CreditScore,ExistingLoan,LoanAmount,LoanTerm,Dependents,EmploymentStatus,EmploymentYears,PaymentHistory,Eligible
59,132961,537,221576,199485,36,1,Salaried,7,Good,1
49,55379,671,481483,276833,12,1,Salaried,5,Poor,1
35,32297,785,219393,612773,12,1,Salaried,2,Good,1
28,17011,324,498149,249304,60,0,Salaried,4,Good,0
41,135234,455,341508,947936,12,0,Self-Employed,8,Poor,0
59,59014,816,332221,852533,24,0,Salaried,15,Average,1
39,109333,829,302788,583119,24,4,Business,15,Good,1
43,26120,356,324787,527799,24,2,Unemployed,8,Poor,0
31,37852,318,275455,364041,24,0,Business,17,Good,1
31,94239,683,254084,55004,60,4,Business,12,Average,1
44,147001,492,129466,358068,24,2,Salaried,10,Good,1
56,106575,536,30531,464725,48,0,Salaried,9,Average,1
60,110040,686,14588,87170,48,1,Self-Employed,9,Good,1
44,20744,725,311560,617843,48,3,Salaried,5,Good,0
23,57359,576,143452,457878,12,0,Unemployed,15,Average,0
42,113746,526,173717,168115,36,3,Salaried,11,Average,1
22,135906,622,411034,940648,60,0,Unemployed,3,Average,0
44,22597,452,161929,902362,48,1,Salaried,4,Poor,0
50,62093,536,21711,228475,48,3,Business,1,Good,1
58,129650,354,136169,348509,24,4,Salaried,18,Good,1
22,135956,735,378492,374332,48,1,Salaried,0,Average,1
41,130598,408,159465,781420,24,3,Business,3,Average,0
53,148241,483,284220,410777,24,3,Salaried,11,Good,1
32,23036,667,346418,994177,36,1,Business,1,Good,1
42,46778,497,319753,113471,12,1,Self-Employed,11,Good,0
45,33800,670,160389,460372,24,1,Salaried,15,Poor,1
47,40372,672,497981,631575,24,2,Unemployed,1,Good,1
48,76516,796,58480,444861,36,4,Salaried,16,Good,1
36,35538,500,269188,371220,24,0,Business,1,Good,1
35,78918,808,464249,537801,60,3,Self-Employed,3,Average,1
23,86155,621,250309,690763,12,0,Self-Employed,5,Poor,1
57,74500,574,55486,100151,60,1,Salaried,6,Average,1
27,125659,510,55162,641672,48,4,Salaried,14,Poor,0
41,42716,803,210359,412009,12,4,Self-Employed,19,Good,1
29,149308,417,29882,607829,48,2,Salaried,11,Good,1
59,17352,341,54078,122847,24,1,Salaried,4,Average,1
38,148004,614,320878,792459,36,3,Self-Employed,13,Good,1
24,91449,628,238680,261811,60,2,Self-Employed,15,Good,1
45,23556,316,108730,887387,48,1,Salaried,10,Average,0
34,101836,582,174898,976794,24,2,Salaried,11,Average,1
29,65098,557,350129,543570,60,0,Salaried,18,Poor,0
46,127169,318,306172,788027,60,1,Salaried,16,Poor,1
22,141060,828,444547,473359,48,3,Salaried,6,Good,1
40,145544,722,98938,992013,24,3,Salaried,8,Poor,1
48,15340,765,118319,399924,36,1,Unemployed,13,Good,1
27,97302,672,32543,742101,48,2,Business,19,Average,1
28,15138,380,124279,470114,60,4,Salaried,11,Good,0
55,146430,850,29362,567649,60,1,Salaried,14,Good,1
34,134619,847,420531,149919,12,3,Business,11,Poor,1
37,100376,723,158818,424998,24,0,Salaried,20,Good,1
56,114931,728,403273,266746,12,3,Business,20,Average,1
60,96532,687,242721,244020,36,4,Unemployed,12,Good,1
24,70778,503,305059,636056,48,3,Self-Employed,8,Good,1
22,52772,495,414277,93262,60,4,Salaried,6,Good,1
26,73478,584,313514,448722,24,1,Business,0,Average,0
24,41762,495,165229,594893,60,3,Unemployed,9,Good,1
49,70568,606,373519,652878,12,2,Self-Employed,5,Good,1
38,100090,313,142394,340375,12,2,Self-Employed,14,Average,1
46,35219,445,69812,653685,48,3,Salaried,14,Good,1
54,72169,356,471058,127123,24,3,Salaried,8,Good,1
30,89965,509,296161,849947,24,0,Business,12,Poor,1
56,99754,828,318936,399355,48,3,Unemployed,0,Good,1
34,92988,643,420958,481838,12,0,Self-Employed,8,Good,1
